NVSS,Name,Rej,RAJ2000,DEJ2000,S1.4GHz,Beam1,Beam2,errTau,TauPk,e_TauPk,Taudv,e_Taudv,Nf,NHIthin,e_NHIthin,NHIiso,e_NHIiso,NHItot,e_NHItot,NHICNM,NHIUNM,fCNM,e_fCNM,fUNM,e_fUNM,SimbadName,NED,recno,rhi,sigrhi,nhicnm,signhicnm,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,lon,lat,ew,sigew,taupeak
1,3C245B,,10 42 44.3,+12 03 31.6,3.31,1.6,1.4,4.2,0.024,0.006,0.028,0.015,1,2.19,0.13,2.2,0.13,1.92,0.13,0.0,0.0,,0.45,,1.0,3C 245,NED,28,1.0,0.07894362,0.0,0.0,0.0,0.0,1.024161517620087,0.0168155802200539,0.2925994098186493,0.0850205178425316,"-80.0, 80.0, 0.0",-126.877092734629,56.299360489526,0.13253620575708186,0.029800604780723387,0.024267642809418902
1,1055+018,,10 58 29.6,+01 33 58.8,3.22,0.1,0.0,0.9,0.008,0.001,0.034,0.004,1,2.94,0.16,2.94,0.16,2.94,0.08,0.0,0.83,,0.07,0.28,0.37,NVSS J105829+013358,NED,29,1.0,0.060845383,0.0,0.0,0.0,0.0,1.0051750540733335,0.0051500646384402,0.081658149138093,0.0644183299832728,"-70.0, 40.0, 0.09531396342529133",-108.489394756955,52.7739826798678,0.06550789098546557,0.00730960217489519,0.008673864836748849
1,3C263.1,,11 43 25.1,+22 06 56.1,3.13,7.5,4.4,0.7,0.02,0.001,0.056,0.004,3,1.81,0.18,1.81,0.18,1.81,0.0,0.03,0.0,0.02,0.16,,0.82,3C 263.1,NED,30,1.0,0.09944752,0.0299999993294477,0.0,0.0165745857888691,0.0,1.002657949924469,0.0257565064036681,0.0022862870246171,0.2052133448842629,"-80.0, 80.0, 0.0",-132.798659930851,73.7659053562529,0.06944236480544971,0.008631278842091413,0.020200292639252587
1,3C273,,12 29 06.1,+02 03 08.6,54.99,7.8,4.2,0.4,0.026,0.001,0.086,0.002,3,2.11,0.05,2.11,0.05,2.1,0.08,0.02,0.29,0.01,0.05,0.14,0.24,3C 273,NED,31,1.0,0.044651393,0.3100000023841858,0.0399999991059303,0.1476190554582076,0.0198604257749643,1.0141509771347046,0.0222464218363877,0.2465081512928009,0.0578106780987513,"-80.0, 80.0, 0.0",-70.054780263548,64.3594752971589,0.07734101441211613,0.0035238984245061955,0.026710199966475074
1,4C32.44,,13 26 16.5,+31 54 09.5,4.86,2.8,1.2,0.7,0.02,0.001,0.062,0.003,2,1.17,0.14,1.17,0.14,1.16,0.01,0.11,0.07,0.1,0.14,0.06,0.69,4C 32.44,NED,32,1.0,0.118942894,0.1800000071525573,0.0099999997764825,0.1551724244241343,0.0087238591296934,1.0073931217193604,0.0158004061680967,0.0695153549313545,0.1356393232709885,"-80.0, 80.0, 0.0",67.2337184230326,81.0476440308329,0.07029329960627531,0.005580946079882599,0.019760251675789486
1,4C25.43,,13 30 37.7,+25 09 11.0,7.05,2.8,1.2,1.1,0.004,0.001,0.029,0.004,1,1.07,0.12,1.07,0.12,1.04,0.12,0.0,0.0,,0.25,,1.0,4C 25.43,NED,33,1.0,0.15639576,0.0,0.0,0.0,0.0,1.002657949924469,0.0151044696130597,0.0022862870246171,0.1558461984009309,"-80.0, 80.0, 0.0",22.4682182723784,80.9882913908808,0.016572420629160586,0.009048610989904919,0.004097021555739317
1,3C286,,13 31 08.3,+30 30 33.0,14.9,5.2,3.3,0.4,0.007,0.001,0.065,0.002,3,1.1,0.15,1.1,0.15,1.1,0.01,0.09,0.0,0.08,0.1,,0.48,3C 286,NED,34,1.0,0.13666633,0.0900000035762786,0.0,0.0818181832959829,0.0007438016231014,1.002657949924469,0.0180517325244313,0.0022862870246171,0.1764825831710978,"-80.0, 80.0, 0.0",56.5243521401643,80.6746573138574,0.07855791721102906,0.0036347790009408068,0.007291670277889233
1,4C12.50,,13 47 33.4,+12 17 24.2,5.4,4.3,1.5,0.9,0.091,0.002,0.288,0.004,2,2.07,0.1,2.1,0.11,2.09,0.06,0.33,0.66,0.16,0.11,0.31,0.54,4C 12.50,NED,35,1.0096617937088013,0.06098246,0.9900000095367432,0.0412310548126697,0.4736842345422904,0.0239605283115896,1.0442680716514587,0.0122785012044778,0.4279721081256866,0.0242543633837785,"-80.0, 80.0, 0.0",-12.7768584670496,70.1717804624037,0.32133979612984753,0.007760255679032435,0.0912259278062094
1,3C298,,14 19 08.2,+06 28 34.8,6.1,2.4,1.4,0.6,0.02,0.001,0.077,0.003,1,2.05,0.11,2.06,0.12,2.06,0.23,0.15,0.0,0.07,0.08,,0.38,3C 298,NED,36,1.004878044128418,0.12667987,0.1500000059604644,0.0099999997764825,0.0728155388966034,0.0094688976838392,1.004538595676422,0.0024688371498651,0.093623474240303,0.0292257414796091,"-40.0, 40.0, 0.0",-7.83956425757845,60.6664876988664,0.0779644941705597,0.004759470821398611,0.020396421711720104
1,UGC09799,,15 16 44.5,+07 01 17.8,5.5,1.7,1.3,6.9,0.066,0.01,0.135,0.024,1,2.9,0.14,2.91,0.14,2.91,0.03,0.17,0.0,0.06,0.49,,1.0,UGC 09799,NED,37,1.003448247909546,0.049534574,0.1700000017881393,0.0199999995529651,0.0584192428776548,0.0068991889201591,1.0063999891281128,0.0144196066052231,0.0876643173396587,0.0294238629838168,"-40.0, 30.0, 0.0",9.41743101768907,50.1202938564486,0.1822466879292266,0.04124891906601925,0.06654006003086192
1,4C04.51,,15 21 14.4,+04 30 22.0,3.93,9.4,3.8,0.8,0.068,0.001,0.325,0.003,3,4.02,0.17,4.06,0.17,3.99,0.04,1.13,0.0,0.28,0.05,,0.24,4C 04.51,NED,38,1.0,0.04313627,1.1299999952316284,0.0244948975741863,0.2832080181781319,0.0067638108438152,1.0378347635269165,0.0101551815064613,0.4005946964025497,0.0333262757433655,"-80.0, 80.0, 0.0",7.29242475196743,47.7470284927532,0.3320372798412089,0.006716963454290702,0.06836644835784585
1,3C327.1A,,16 04 44.9,+01 17 52.8,4.08,3.5,2.4,3.2,0.505,0.008,2.259,0.013,3,7.21,0.17,7.87,0.18,7.87,0.19,3.34,0.0,0.42,0.12,,0.47,3C 327.1,NED,39,1.09153950214386,0.03790832,3.3399996757507324,0.1166190356016159,0.4243964071561686,0.0180154661163433,1.2644336819648745,0.0760525162007847,0.6795537173748016,0.0126636573284513,"-80.0, 80.0, 0.0",12.1814073765717,37.006430668112,2.289625728784033,0.026283987766626424,0.5095705021589095
1,3C327.1B,,16 04 45.6,+01 17 47.6,4.08,3.5,2.4,3.0,0.448,0.007,2.135,0.012,4,7.21,0.17,7.83,0.18,7.87,0.21,3.26,0.0,0.41,0.11,,0.44,3C 327.1,NED,40,1.09153950214386,0.03988651,3.259999990463257,0.1220655590295791,0.4142312627532735,0.0190457436582492,1.2644336819648745,0.0760525162007847,0.6795537173748016,0.0126636573284513,"-80.0, 80.0, 0.0",12.1820601652311,37.0030404364676,2.199588481949157,0.024261481479075787,0.45161336205099184
1,PKS1607,,16 09 13.3,+26 41 29.0,4.91,0.9,0.4,0.6,0.177,0.001,0.924,0.003,4,3.78,0.14,3.88,0.14,3.86,0.11,0.89,0.0,0.23,0.09,,0.2,PKS 1607+26,NED,41,1.021164059638977,0.04772065,0.8799999952316284,0.0640312433242797,0.2279792795719188,0.0178152696602568,1.0488067865371704,0.0308281828683869,0.5048429816961288,0.0246228920359416,"-80.0, 80.0, 0.0",44.1712763967548,46.203207843214,0.9264492878807775,0.0052086216313015415,0.1771475964481014
1,J1613,,16 13 41.1,+34 12 47.9,4.02,4.1,3.5,1.0,0.005,0.001,0.001,0.004,1,1.5,0.14,1.5,0.14,1.5,0.14,0.0,0.0,,0.16,,0.8,NVSS J161341+341247,NED,42,1.0,0.13199326,0.0,0.0,0.0,0.0,1.0013275742530825,0.0037780454953681,0.1215742602944374,0.0493211290247198,"-80.0, 80.0, 0.0",55.1510950116733,46.378708980174096,0.006348211782670846,0.008249489506297005,0.005062558260290998
1,3C346,,16 43 48.6,+17 15 49.3,3.66,1.0,0.7,2.0,0.288,0.004,1.16,0.008,3,5.0,0.15,5.19,0.16,5.21,0.1,1.45,0.0,0.28,0.09,,0.44,3C 346,NED,44,1.0420000553131104,0.038882162,1.4500000476837158,0.0538516454398632,0.2783109476136268,0.0116349765637329,1.0971276760101318,0.032963844911741,0.4675169587135315,0.0518171382101383,"-80.0, 80.0, 0.0",35.3317127535438,35.7693529740607,1.208066304576918,0.016034566902184366,0.28791861165544147
1,3C390,,18 45 37.6,+09 53 45.0,4.51,3.4,2.8,1.2,0.157,0.003,2.649,0.007,10,25.05,1.13,25.91,1.17,26.0,0.8,3.05,10.52,0.12,0.02,0.4,0.08,3C 390,NED,45,1.0379241704940796,0.058051895,13.580000877380373,0.2630589604377746,0.5223077260530912,0.0189906342098016,1.441154956817627,0.2551522400200232,0.7607097327709198,0.0729122781113355,"-80.0, 80.0, 0.0",41.1119482426029,5.773317447748,2.6764388031452695,0.014457804517469407,0.15674128142142035
1,4C33.48,,19 24 17.5,+33 29 29.7,3.77,4.8,1.7,2.9,0.408,0.006,2.434,0.013,4,13.48,0.39,14.04,0.4,13.8,0.44,1.58,0.0,0.11,0.06,,0.27,4C 33.48,NED,46,1.023738980293274,0.044589855,1.590000033378601,0.2531797587871551,0.1152173921306251,0.0187105371380104,1.1200291514396667,0.052588054259054,0.4073625802993774,0.117692610860934,"-70.0, 70.0, 0.0",66.3887300183832,8.37115551410217,2.566054598487102,0.026607795905208127,0.4107012923956846
1,3C409A,,20 14 27.5,+23 34 55.4,13.68,1.6,1.4,1.4,1.19,0.005,8.701,0.008,7,23.0,0.8,27.74,0.96,27.05,2.27,12.96,0.63,0.48,0.19,0.02,0.08,3C 409,NED,47,1.1760869026184082,0.110229515,13.56999969482422,1.3221951723098757,0.5016635888193406,0.0645100262688761,1.9019917249679563,0.5183968910794552,0.782341331243515,0.0447055477341373,"-80.0, 80.0, 0.0",63.398444425317294,-6.12094007033623,8.688822761948307,0.01716748104546049,1.1907616280932272
1,3C409B,,20 14 27.7,+23 34 50.2,13.68,1.6,1.4,1.3,1.303,0.004,8.502,0.007,6,23.0,0.8,27.66,0.96,25.63,1.85,7.11,7.67,0.28,0.21,0.3,0.08,3C 409,NED,48,1.1143478155136108,0.092914544,14.779999732971191,1.0758717060089111,0.5766679756898251,0.0591157450993376,1.9019917249679563,0.5183968910794552,0.782341331243515,0.0447055477341373,"-80.0, 80.0, 0.0",63.3977176788629,-6.12247447225179,8.5025152009596,0.015162060172458178,1.3099536920808947
2,3C410A,,20 20 06.6,+29 42 14.8,2.88,3.2,1.7,1.4,3.501,0.007,17.744,0.01,13,38.53,2.81,54.1,3.94,53.13,7.24,24.46,0.99,0.46,0.2,0.02,0.14,3C 410,NED,49,1.3789255619049072,0.23492812,24.470001220703125,4.2037129402160645,0.4605684308067564,0.1009909533415546,1.879655122756958,0.3765680800346729,0.7732486426830292,0.0356524826656569,"-80.0, 80.0, 0.0",69.2119065475898,-3.76905327520512,17.81212433654215,0.02089277579004876,3.522484208592444
2,3C410B,,20 20 06.7,+29 42 09.6,6.39,3.2,1.7,2.0,3.146,0.009,16.993,0.014,12,38.53,2.81,53.31,3.88,42.87,18.06,16.17,0.0,0.38,0.31,,0.08,3C 410,NED,50,1.112639546394348,0.48193103,16.15999984741211,1.467514991760254,0.3769535864250519,0.1624482749226879,1.831881403923035,0.460945616427173,0.7830472588539124,0.0276817833593908,"-70.0, 70.0, 0.0",69.2110874677608,-3.7704181460833697,17.096586788890693,0.028192713980355992,3.1542309746974824
1,B2050,,20 52 52.1,+36 35 35.3,5.14,4.3,2.0,0.8,0.331,0.002,2.653,0.004,9,23.59,1.2,24.56,1.25,24.54,0.84,3.49,3.79,0.14,0.11,0.15,0.05,NVSS J205252+363535,NED,51,1.040271282196045,0.065623455,7.269999980926514,0.490815669298172,0.2962510069152655,0.0224244893294884,1.653965711593628,0.3865556365185078,0.7228704690933228,0.1279712276154271,"-80.0, 80.0, 0.0",78.8581469916453,-5.12385736296915,2.6784638045419777,0.009089184784163954,0.3316943997130755
1,3C433,,21 23 44.6,+25 04 02.2,10.33,9.7,5.7,3.0,0.467,0.007,1.882,0.012,4,8.38,0.04,8.88,0.04,8.86,0.29,2.11,0.0,0.24,0.1,,0.39,3C 433,NED,52,1.0572792291641235,0.03497225,2.0999999046325684,0.15968719124794,0.2370203144477466,0.0196221558327899,1.194225788116455,0.0721168564287936,0.5562441349029541,0.0509455012076672,"-80.0, 80.0, 0.0",74.4745602102377,-17.6965840235501,1.9751856343420855,0.02437426520350122,0.467483290361066
1,PKS2127,,21 30 32.9,+05 02 17.5,4.1,4.0,1.7,0.7,0.128,0.001,0.556,0.003,3,4.62,0.28,4.71,0.29,4.7,0.24,0.67,1.59,0.14,0.04,0.34,0.19,PKS 2127+04,NED,53,1.0173159837722778,0.08231877,0.6700000166893005,0.0282842703163623,0.1425532008253544,0.009444780031869,1.075421392917633,0.0193206808639046,0.4262088984251022,0.0330123325682594,"-80.0, 80.0, 0.0",58.6520679504282,-31.8149250815853,0.5615994096771108,0.00626770315516146,0.12916412288946566
1,J2136,,21 36 38.6,+00 41 54.2,3.47,8.3,5.0,1.2,0.143,0.002,0.882,0.005,3,4.36,0.05,4.49,0.06,4.4,0.2,0.68,0.0,0.16,0.07,,0.34,NVSS J213638+004154,NED,54,1.009174346923828,0.047927745,0.6800000071525574,0.1232882812619209,0.1545454528213533,0.0288872228691489,1.0763437151908877,0.0301479113008321,0.5040980875492096,0.0361836596486393,"-80.0, 80.0, 0.0",55.4728544579819,-35.5777470283565,0.911879031986627,0.01048834118664201,0.1433658580797059
1,J2232,,22 32 36.4,+11 43 50.9,7.2,5.2,4.3,1.0,0.156,0.002,1.052,0.004,5,4.88,0.16,5.0,0.16,4.98,0.07,1.48,0.0,0.3,0.1,,0.26,NVSS J223236+114350,NED,55,1.0204918384552002,0.036403924,1.46999990940094,0.046904157847166,0.2951807035684367,0.0102919137846346,1.0518248677253723,0.0235377236771603,0.516263872385025,0.0337009591331638,"-80.0, 80.0, 0.0",77.4378972716138,-38.5824912039136,1.1036697116005991,0.00901214033200574,0.15753918654443425
1,3C454.3,,22 53 58.0,+16 08 52.4,12.66,2.2,1.5,1.1,0.317,0.002,1.81,0.005,8,6.84,0.08,7.05,0.08,6.91,0.56,1.97,0.0,0.28,0.1,,0.21,3C 454.3,NED,56,1.0102338790893557,0.08271956,1.959999918937683,0.24515300989151,0.2836468830996762,0.0422741619429104,1.067221701145172,0.0183692489698308,0.5255298614501953,0.021806094193592,"-80.0, 80.0, 0.0",86.1118030417998,-38.18459555111,1.8707951907780331,0.010195246655455995,0.31819032818338777
1,3C459,,23 16 35.2,+04 05 18.1,4.68,5.7,4.5,0.9,0.142,0.002,1.146,0.004,7,5.43,0.16,5.6,0.16,5.56,0.71,0.32,4.27,0.06,0.33,0.77,0.29,3C 459,NED,57,1.0239410400390625,0.1341909,4.599999904632568,0.3972404897212982,0.8273381208584956,0.127539496414875,1.1160846948623655,0.0401354900455852,0.605562835931778,0.0180806149508349,"-90.0, 80.0, 0.0",83.039788064593,-51.2850052814043,1.1640735573195342,0.007786803916605127,0.1420584800358157
